,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
0,33.0,67.0,38.0,32.0,33.0,34.0,42.0,52.0,59.0,25.0,23.0,31.0,35.0,49.0,51.0,7.0,17.0,20.0,27.0,36.0,41.0,49.0,8.0,22.0,25.0,33.0,53.0,6.0,31.0,59.0,45.0,29.0,30.0,19.0,24.0,24.0,29.0,15.0,34.0,41.0,6.0
1,35.0,68.0,39.0,33.0,34.0,35.0,43.0,52.0,58.0,26.0,24.0,32.0,36.0,49.0,51.0,8.0,18.0,21.0,28.0,35.0,41.0,48.0,10.0,21.0,25.0,32.0,53.0,5.0,30.0,61.0,45.0,31.0,30.0,20.0,26.0,25.0,30.0,16.0,35.0,42.0,7.0
2,35.0,69.0,39.0,34.0,34.0,36.0,43.0,52.0,58.0,27.0,25.0,33.0,37.0,49.0,51.0,8.0,19.0,22.0,28.0,35.0,41.0,48.0,10.0,21.0,25.0,32.0,53.0,5.0,30.0,61.0,45.0,31.0,30.0,21.0,26.0,25.0,31.0,17.0,35.0,43.0,8.0
3,36.0,70.0,40.0,34.0,35.0,36.0,44.0,51.0,58.0,27.0,25.0,33.0,37.0,48.0,50.0,10.0,19.0,23.0,29.0,35.0,40.0,48.0,10.0,20.0,24.0,32.0,52.0,5.0,30.0,63.0,44.0,32.0,29.0,21.0,27.0,26.0,32.0,17.0,36.0,44.0,10.0
4,36.0,71.0,41.0,35.0,36.0,37.0,44.0,52.0,58.0,28.0,26.0,34.0,37.0,49.0,51.0,11.0,20.0,23.0,30.0,35.0,41.0,48.0,11.0,21.0,25.0,32.0,53.0,5.0,30.0,63.0,45.0,32.0,30.0,22.0,27.0,26.0,32.0,18.0,36.0,44.0,10.0
5,37.0,72.0,42.0,36.0,37.0,38.0,45.0,53.0,59.0,29.0,27.0,35.0,38.0,50.0,52.0,12.0,21.0,24.0,31.0,36.0,42.0,49.0,12.0,22.0,26.0,33.0,54.0,6.0,31.0,64.0,46.0,33.0,31.0,23.0,28.0,27.0,33.0,19.0,37.0,45.0,11.0
6,38.0,73.0,42.0,37.0,37.0,38.0,46.0,54.0,60.0,30.0,28.0,36.0,39.0,51.0,53.0,13.0,22.0,25.0,31.0,37.0,42.0,50.0,12.0,23.0,27.0,34.0,55.0,7.0,32.0,65.0,46.0,34.0,31.0,23.0,29.0,28.0,34.0,20.0,38.0,46.0,12.0
7,30.0,63.0,34.0,28.0,29.0,30.0,38.0,50.0,57.0,21.0,19.0,27.0,31.0,47.0,49.0,3.0,13.0,17.0,23.0,32.0,39.0,46.0,5.0,22.0,24.0,32.0,51.0,9.0,30.0,56.0,43.0,26.0,29.0,15.0,21.0,20.0,25.0,11.0,30.0,38.0,2.0
8,30.0,64.0,35.0,29.0,30.0,31.0,39.0,51.0,57.0,22.0,20.0,28.0,32.0,48.0,50.0,4.0,14.0,17.0,24.0,33.0,40.0,47.0,5.0,23.0,25.0,33.0,52.0,9.0,31.0,56.0,44.0,26.0,30.0,16.0,21.0,21.0,26.0,12.0,31.0,38.0,3.0
9,32.0,65.0,36.0,30.0,31.0,32.0,40.0,52.0,59.0,23.0,21.0,29.0,33.0,49.0,51.0,5.0,15.0,18.0,25.0,34.0,41.0,48.0,7.0,23.0,26.0,34.0,53.0,7.0,32.0,58.0,45.0,28.0,31.0,17.0,23.0,22.0,27.0,13.0,32.0,40.0,4.0
10,33.0,66.0,37.0,31.0,32.0,33.0,41.0,53.0,60.0,24.0,22.0,30.0,34.0,50.0,52.0,6.0,16.0,20.0,26.0,35.0,42.0,49.0,8.0,22.0,26.0,34.0,54.0,6.0,32.0,59.0,46.0,29.0,31.0,18.0,24.0,23.0,28.0,14.0,33.0,41.0,5.0
11,33.0,67.0,38.0,32.0,33.0,34.0,41.0,52.0,59.0,25.0,23.0,31.0,35.0,50.0,51.0,7.0,17.0,20.0,27.0,36.0,41.0,49.0,8.0,22.0,26.0,33.0,53.0,6.0,31.0,59.0,45.0,29.0,30.0,19.0,24.0,24.0,29.0,15.0,33.0,41.0,6.0
12,34.0,68.0,38.0,33.0,33.0,35.0,42.0,52.0,58.0,26.0,24.0,32.0,36.0,49.0,51.0,7.0,18.0,21.0,27.0,35.0,40.0,48.0,9.0,21.0,25.0,32.0,53.0,5.0,30.0,60.0,45.0,30.0,30.0,20.0,25.0,24.0,30.0,16.0,34.0,42.0,7.0
13,35.0,68.0,39.0,33.0,34.0,35.0,43.0,51.0,57.0,26.0,25.0,33.0,36.0,48.0,50.0,8.0,18.0,22.0,28.0,35.0,40.0,47.0,10.0,20.0,24.0,32.0,52.0,4.0,29.0,61.0,44.0,31.0,29.0,20.0,26.0,25.0,31.0,17.0,35.0,43.0,8.0
14,35.0,70.0,39.0,33.0,34.0,35.0,43.0,50.0,57.0,26.0,24.0,32.0,35.0,47.0,49.0,10.0,18.0,21.0,28.0,34.0,39.0,46.0,9.0,19.0,23.0,31.0,51.0,3.0,29.0,63.0,43.0,30.0,28.0,20.0,25.0,25.0,30.0,16.0,35.0,42.0,9.0
15,34.0,70.0,38.0,33.0,33.0,34.0,42.0,50.0,56.0,25.0,24.0,32.0,35.0,47.0,48.0,10.0,17.0,21.0,27.0,33.0,38.0,46.0,8.0,19.0,23.0,30.0,51.0,3.0,28.0,62.0,42.0,30.0,27.0,19.0,25.0,24.0,30.0,16.0,34.0,42.0,9.0
16,34.0,73.0,38.0,33.0,33.0,35.0,42.0,50.0,56.0,26.0,24.0,32.0,35.0,47.0,49.0,13.0,18.0,21.0,28.0,33.0,39.0,46.0,8.0,19.0,23.0,30.0,51.0,3.0,28.0,66.0,43.0,30.0,28.0,20.0,25.0,24.0,30.0,16.0,34.0,42.0,12.0
17,34.0,73.0,38.0,33.0,33.0,34.0,42.0,50.0,56.0,26.0,24.0,32.0,35.0,47.0,49.0,13.0,18.0,21.0,27.0,33.0,38.0,46.0,8.0,19.0,23.0,30.0,51.0,3.0,28.0,66.0,42.0,30.0,27.0,19.0,25.0,24.0,30.0,16.0,34.0,42.0,12.0
18,29.0,64.0,34.0,28.0,29.0,30.0,38.0,50.0,56.0,21.0,19.0,27.0,31.0,47.0,49.0,3.0,13.0,16.0,23.0,32.0,39.0,46.0,4.0,22.0,24.0,32.0,51.0,10.0,30.0,57.0,43.0,25.0,29.0,15.0,20.0,20.0,25.0,11.0,30.0,37.0,2.0
19,30.0,64.0,34.0,28.0,29.0,30.0,38.0,50.0,57.0,21.0,19.0,27.0,31.0,47.0,49.0,3.0,13.0,17.0,23.0,33.0,39.0,47.0,5.0,23.0,24.0,32.0,51.0,9.0,30.0,56.0,43.0,26.0,29.0,15.0,21.0,20.0,26.0,11.0,30.0,38.0,2.0
20,32.0,67.0,37.0,31.0,32.0,33.0,40.0,52.0,58.0,24.0,22.0,30.0,34.0,49.0,51.0,6.0,16.0,19.0,26.0,35.0,41.0,48.0,1.0,21.0,25.0,32.0,53.0,7.0,30.0,60.0,45.0,28.0,30.0,18.0,23.0,22.0,28.0,14.0,32.0,40.0,5.0
21,33.0,67.0,37.0,31.0,32.0,33.0,41.0,52.0,58.0,24.0,22.0,30.0,34.0,49.0,51.0,6.0,16.0,19.0,26.0,35.0,40.0,48.0,1.0,21.0,25.0,32.0,53.0,7.0,30.0,60.0,44.0,29.0,29.0,18.0,24.0,23.0,28.0,14.0,33.0,40.0,5.0
22,34.0,67.0,38.0,32.0,33.0,34.0,42.0,52.0,59.0,25.0,23.0,31.0,35.0,49.0,51.0,7.0,17.0,21.0,27.0,36.0,41.0,48.0,9.0,21.0,25.0,33.0,53.0,5.0,31.0,60.0,45.0,30.0,30.0,19.0,25.0,24.0,30.0,15.0,34.0,42.0,6.0
23,34.0,67.0,38.0,33.0,33.0,34.0,42.0,52.0,58.0,26.0,24.0,32.0,36.0,49.0,51.0,7.0,17.0,21.0,27.0,35.0,41.0,48.0,9.0,21.0,25.0,32.0,53.0,5.0,30.0,60.0,45.0,30.0,30.0,19.0,25.0,24.0,30.0,16.0,34.0,42.0,7.0
24,35.0,69.0,39.0,34.0,34.0,35.0,43.0,51.0,57.0,27.0,25.0,33.0,36.0,48.0,50.0,8.0,19.0,22.0,28.0,34.0,40.0,47.0,9.0,20.0,24.0,31.0,52.0,4.0,29.0,61.0,44.0,31.0,29.0,21.0,26.0,25.0,31.0,17.0,35.0,43.0,8.0
25,33.0,74.0,38.0,32.0,33.0,34.0,42.0,49.0,55.0,25.0,23.0,31.0,34.0,46.0,48.0,14.0,17.0,20.0,27.0,33.0,38.0,45.0,8.0,18.0,22.0,30.0,50.0,2.0,27.0,66.0,42.0,29.0,27.0,19.0,24.0,24.0,29.0,15.0,34.0,41.0,13.0
26,33.0,70.0,38.0,32.0,33.0,34.0,42.0,49.0,55.0,25.0,23.0,31.0,34.0,46.0,48.0,10.0,17.0,20.0,27.0,33.0,38.0,45.0,8.0,18.0,22.0,30.0,50.0,2.0,27.0,63.0,42.0,29.0,27.0,19.0,24.0,24.0,29.0,15.0,34.0,41.0,9.0
27,33.0,72.0,37.0,31.0,32.0,33.0,41.0,48.0,55.0,24.0,22.0,30.0,34.0,45.0,47.0,12.0,16.0,20.0,26.0,32.0,37.0,45.0,7.0,17.0,21.0,29.0,49.0,2.0,27.0,64.0,41.0,29.0,26.0,18.0,24.0,23.0,29.0,14.0,33.0,41.0,11.0
28,34.0,73.0,38.0,32.0,33.0,34.0,42.0,49.0,56.0,25.0,23.0,31.0,34.0,46.0,48.0,12.0,17.0,20.0,27.0,33.0,38.0,45.0,8.0,18.0,22.0,30.0,50.0,2.0,27.0,65.0,42.0,29.0,27.0,19.0,24.0,24.0,29.0,15.0,34.0,41.0,12.0
29,28.0,63.0,32.0,27.0,27.0,28.0,36.0,49.0,55.0,20.0,18.0,26.0,30.0,46.0,47.0,3.0,12.0,15.0,21.0,31.0,37.0,45.0,9.0,21.0,22.0,30.0,49.0,14.0,28.0,56.0,41.0,24.0,28.0,14.0,19.0,18.0,24.0,10.0,28.0,36.0,3.0
30,28.0,66.0,32.0,26.0,27.0,28.0,36.0,48.0,55.0,19.0,17.0,25.0,29.0,45.0,47.0,1.0,11.0,14.0,21.0,30.0,37.0,44.0,6.0,20.0,22.0,30.0,49.0,12.0,28.0,58.0,41.0,24.0,27.0,13.0,19.0,18.0,23.0,9.0,28.0,36.0,0.0
31,28.0,65.0,32.0,27.0,28.0,29.0,36.0,49.0,55.0,20.0,18.0,26.0,30.0,46.0,48.0,1.0,12.0,15.0,22.0,31.0,37.0,45.0,5.0,21.0,22.0,31.0,50.0,11.0,28.0,57.0,41.0,24.0,28.0,14.0,19.0,18.0,24.0,10.0,28.0,36.0,1.0
32,30.0,65.0,34.0,29.0,29.0,30.0,38.0,50.0,57.0,22.0,20.0,28.0,32.0,47.0,49.0,3.0,14.0,17.0,23.0,33.0,39.0,47.0,3.0,23.0,24.0,32.0,51.0,9.0,30.0,57.0,43.0,26.0,30.0,15.0,21.0,20.0,26.0,12.0,30.0,38.0,3.0
33,31.0,66.0,35.0,29.0,30.0,31.0,39.0,51.0,58.0,22.0,20.0,28.0,32.0,48.0,50.0,4.0,14.0,18.0,24.0,33.0,40.0,47.0,3.0,23.0,25.0,33.0,52.0,9.0,31.0,58.0,44.0,27.0,30.0,16.0,22.0,21.0,27.0,12.0,31.0,39.0,3.0
34,32.0,67.0,36.0,31.0,31.0,32.0,40.0,52.0,59.0,24.0,22.0,30.0,34.0,49.0,51.0,5.0,16.0,19.0,25.0,35.0,41.0,48.0,1.0,21.0,25.0,33.0,53.0,7.0,31.0,59.0,45.0,28.0,30.0,17.0,23.0,22.0,28.0,14.0,32.0,40.0,5.0
35,33.0,68.0,37.0,32.0,32.0,33.0,41.0,51.0,58.0,25.0,23.0,31.0,35.0,48.0,50.0,6.0,17.0,20.0,26.0,35.0,40.0,47.0,0.0,20.0,24.0,32.0,52.0,6.0,30.0,60.0,44.0,29.0,29.0,18.0,24.0,23.0,29.0,15.0,33.0,41.0,6.0
36,34.0,69.0,38.0,32.0,33.0,34.0,42.0,50.0,57.0,25.0,23.0,31.0,35.0,47.0,49.0,7.0,17.0,21.0,27.0,34.0,39.0,47.0,0.0,19.0,23.0,31.0,51.0,5.0,29.0,61.0,43.0,30.0,28.0,19.0,25.0,24.0,30.0,15.0,34.0,42.0,6.0
37,34.0,69.0,38.0,32.0,33.0,34.0,42.0,50.0,57.0,25.0,24.0,32.0,35.0,47.0,49.0,7.0,17.0,21.0,27.0,34.0,39.0,47.0,1.0,19.0,23.0,31.0,51.0,5.0,29.0,61.0,43.0,30.0,28.0,19.0,25.0,24.0,30.0,16.0,34.0,42.0,7.0
38,34.0,70.0,38.0,32.0,33.0,34.0,42.0,49.0,56.0,25.0,23.0,31.0,34.0,46.0,48.0,8.0,17.0,20.0,27.0,33.0,38.0,45.0,2.0,18.0,22.0,30.0,50.0,4.0,28.0,62.0,42.0,29.0,27.0,19.0,24.0,24.0,29.0,15.0,34.0,41.0,8.0
